sample id	Sequencing run	Sampling date	Sampling duration (min)	area	Sampling number	DZMZ Lfd Nummer	DSMZ Probe 	DSMZ Barcode	DSMZ Index	Object number SPK	Object number MfN	Spot number	Sample	Institution	Collection	Type of room	Object	Material	Stone type	Color	Inv. number	Spot	Height	Touched	Comments	Comments 2
2VAM B12	second	10/26/2021	3	0.50	VAM B 12	27	2VAM B12	27	1	2				SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	tooth	1.5	xy	visitors and StS	regularly and 60 secs on sampling day by STS
2Pergamon Mus. Negativprobe	second	10/26/2021	3		Pergamonmuseum  Negativprobe	34	2Pergamon Mus. Negativprobe	11	2					SPK	VAM	exhibition	air in ca.1,5m height	Air				Air next to right lion VA 2718	1.5		reference	
2VAM B13	second	10/26/2021	3	0.50	VAM B 13	25	2VAM B13	25	1	8				SPK	VAM	exhibition	small Gate Lion left	Stone	Basalt/Dolerite		S 6577	mouth/nose	1	x		
2VAM B14	second	10/26/2021	3	0.50	VAM B 14	29	2VAM B14	29	1	9				SPK	VAM	exhibition	small Gate Lion right	Stone	Basalt/Dolerite		S 6578	mouth/nose	1	x		
2VAM B15	second	10/26/2021	3	0.50	VAM B 15	32	2VAM B15	32	1	8				SPK	VAM	exhibition	small Gate Lion left	Stone	Basalt/Dolerite		S 6577	breast	0.6			
2VAM B16	second	10/26/2021	3	0.50	VAM B 16	31	2VAM B16	10	2	9				SPK	VAM	exhibition	small Gate Lion right	Stone	Basalt/Dolerite		S 6578	breast	0.6			
2VAM B17	second	10/26/2021	3	0.50	VAM B 17	46	2VAM B17	46	2	5				SPK	VAM	exhibition	Stier 	Glazed Ceramic		yellow	1422	bright part body	1.7	(x)		
2VAM B18	second	10/26/2021	3	0.50	VAM B 18	47	2VAM B18	47	2	5				SPK	VAM	exhibition	Stier 	Glazed Ceramic		blue	1422	blue part between legs	1.2	(x)		
2VAM B19	second	10/26/2021	3	0.50	VAM B 19	48	2VAM B19	22	2	5				SPK	VAM	exhibition	Stier	Glazed Ceramic		yellow	1424	bright part body	1.7	(x)		
2VAM B20	second	10/26/2021	3	0.50	VAM B 20	49	2VAM B20	23	2	5				SPK	VAM	exhibition	Stier	Glazed Ceramic		blue	1424	blue part between legs	1.2	(x)		
2VAM B21	second	10/26/2021	3	0.50	VAM B 21	50	2VAM B21	50	2	5				SPK	VAM	exhibition	Drache	Glazed Ceramic		yellow	1442	bright part body	3.6			
2VAM B22	second	10/26/2021	3	0.50	VAM B 22	51	2VAM B22	51	2	5				SPK	VAM	exhibition	Drache	Glazed Ceramic		blue	1442	blue part between legs	3.2			
2VAM B23	second	10/26/2021	3	0.50	VAM B 23	52	2VAM B23	52	2	5				SPK	VAM	exhibition	Stier 	Glazed Ceramic		yellow	1426	bright part body	5.6			
2VAM B24	second	10/26/2021	3	0.50	VAM B 24	53	2VAM B24	53	2	5				SPK	VAM	exhibition	Stier 	Glazed Ceramic		blue	1426	blue part between legs	5.2			
2VAM B25	second	10/26/2021	3	0.50	VAM B 25	54	2VAM B25	24	2	5				SPK	VAM	exhibition	Stier 	Glazed Ceramic		yellow	1426	bright part body	5.6	y	StS	60 secs on sampling day by STS
2VAM B26	second	10/26/2021	3	0.50	VAM B 26	55	2VAM B26	25	2	5				SPK	VAM	exhibition	Stier	Glazed Ceramic		blue	1426	blue part between legs	5.2	y	RRP	60 secs on sampling day by RRP
2VAM B27	second	10/26/2021	3	0.50	VAM B 27	56	2VAM B27	56	2	5				SPK	VAM	exhibition	Drache	Glazed Ceramic		yellow	1447	bright part body	7.6			
2VAM B28	second	10/26/2021	3	0.50	VAM B 28	57	2VAM B28	57	2	5				SPK	VAM	exhibition	Drache 	Glazed Ceramic		blue	1447	blue part between legs	7.2			
2VAM B29	second	10/26/2021	3	0.50	VAM B 29	58	2VAM B29	58	2	5				SPK	VAM	exhibition	Drache 	Glazed Ceramic		yellow	1447	bright part body	7.6	y	RRP	60 secs on sampling day by RRP
2VAM B30	second	10/26/2021	3	0.50	VAM B 30	59	2VAM B30	59	2	5				SPK	VAM	exhibition	Drache 	Glazed Ceramic		blue	1447	blue part between legs	7.2	y	StS	60 secs on sampling day by STS
2RF Negativprobe	second	10/28/2021	3		RF Negativprobe	38	2RF Negativprobe	13	2					SPK	RF	office	Air in ca.1,5m Höhe	Air				Raum 211 RF	1.5			
2RF B31 M	second	10/28/2021	3	0.01	RF B 31 M	36	2RF B31 M	36	2	M		1		SPK	RF	office	Maus PC RRP	Polymer				Raum 222 RF	n.a.	y	RRP	routinely by RRP
2RF B32 T	second	10/28/2021	3	0.02	RF B 32 T	35	2RF B32 T	35	2	T		1		SPK	RF	office	Tastatur PC RRP	Polymer				Raum 222 RF	n.a.	y	RRP	routinely by RRP
2RF B33 M	second	10/28/2021	3	0.01	RF B 33 M	37	2RF B33 M	37	2	M		1		SPK	RF	office	Maus PC StS	Polymer				Raum 208 RF	n.a.	y	StS	routinely by STS
2RF B34 T	second	10/28/2021	3	0.02	RF B 34 T	33	2RF B34 T	33	2	T		1		SPK	RF	office	Tastatur PC StS	Polymer				Raum 208 RF	n.a.	y	StS	routinely by STS
MfN1	second	10/12/2021			MfN 1	1	2MfN_1	1	1		1	1	1	MfN	VertPal	Collection	Tendaguru	Air				cabinet			reference	between shelves
MfN2	second	10/12/2021			MfN 2	2	2MfN_2	2	1		1	1	2	MfN	VertPal	Collection	Tendaguru	Air				cabinet			reference	between shelves
MfN3	second	10/12/2021			MfN 3	3	2MfN_3	3	1		1	1	3	MfN	VertPal	Collection	Tendaguru	Air				cabinet			reference	between shelves
MfN4	second	10/12/2021			MfN 4	4	2MfN_4	4	1		2	2	1	MfN	VertPal	Collection	Tendaguru	Air				room			reference	
MfN5	second	10/12/2021			MfN 5	5	2MfN_5	5	1		2	2	2	MfN	VertPal	Collection	Tendaguru	Air				room			reference	
MfN7	second	10/12/2021			MfN 7	7	2MfN_7	2	2		3	3	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.6077	bone		Y	touched by users	object used for tours behind the scene
MfN8	second	10/12/2021			MfN 8	8	2MfN_8	8	1		3	3	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.6077	bone		Y	touched by users	object used for tours behind the scene
MfN9	second	10/12/2021			MfN 9	9	2MfN_9	9	1		3	3	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.6077	bone		Y	touched by users	object used for tours behind the scene
MfN10	second	10/12/2021			MfN 10	10	2MfN_10	10	1		4	4	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2095.11	bone			untouched	
